指标名称,CPI:当月同比,22个省市:平均价格:猪肉,平均批发价:28种重点监测蔬菜,生产资料价格:柴油(0#国VI),平均批发价:6种重点监测水果
2023-07-31,,,4.81 ,7941.40 ,7.35 
2023-07-28,,,4.81 ,,7.35 
2023-07-27,,,4.85 ,,7.48 
2023-07-26,,,4.83 ,,7.38 
2023-07-25,,,4.81 ,,7.35 
2023-07-24,,,4.85 ,,7.42 
2023-07-21,,19.04 ,4.88 ,,7.48 
2023-07-20,,,4.89 ,7552.90 ,7.48 
2023-07-19,,,4.87 ,,7.54 
2023-07-18,,,4.89 ,,7.45 
2023-07-17,,,4.87 ,,7.47 
2023-07-14,,19.11 ,4.87 ,,7.55 
2023-07-13,,,4.87 ,,7.58 
2023-07-12,,,4.92 ,,7.55 
2023-07-11,,,4.89 ,,7.57 
2023-07-10,,,4.93 ,7347.30 ,7.57 
2023-07-07,,19.47 ,4.94 ,,7.52 
2023-07-06,,,4.95 ,,7.60 
2023-07-05,,,4.97 ,,7.65 
2023-07-04,,,4.99 ,,7.72 
2023-07-03,,,4.96 ,,7.83 
2023-06-30,0.00 ,19.77 ,4.99 ,7354.50 ,7.93 
2023-06-29,,,5.01 ,,7.92 
2023-06-28,,,5.04 ,,8.01 
2023-06-27,,,5.05 ,,7.94 
2023-06-26,,,5.02 ,,8.05 
2023-06-25,,,5.08 ,,7.98 
2023-06-23,,20.11 ,,,
2023-06-21,,,5.05 ,,8.14 
2023-06-20,,,5.08 ,7488.00 ,8.22 
2023-06-19,,,5.07 ,,8.19 
2023-06-16,,20.14 ,5.02 ,,8.24 
2023-06-15,,,5.03 ,,8.23 
2023-06-14,,,5.01 ,,8.30 
2023-06-13,,,4.95 ,,8.23 
2023-06-12,,,4.98 ,,8.16 
2023-06-10,,,,7614.70 ,
2023-06-09,,20.24 ,4.96 ,,8.09 
2023-06-08,,,4.93 ,,8.15 
2023-06-07,,,4.87 ,,8.15 
2023-06-06,,,4.90 ,,8.46 
2023-06-05,,,4.92 ,,8.22 
2023-06-02,,20.27 ,4.89 ,,8.07 
2023-06-01,,,4.91 ,,8.13 
2023-05-31,0.20 ,,4.92 ,7651.20 ,8.14 
2023-05-30,,,4.87 ,,8.15 
2023-05-29,,,4.87 ,,8.07 
2023-05-26,,20.17 ,4.83 ,,8.16 
2023-05-25,,,4.82 ,,8.27 
2023-05-24,,,4.79 ,,8.10 
2023-05-23,,,4.77 ,,8.13 
2023-05-22,,,4.76 ,,8.09 
2023-05-20,,,,7714.20 ,
2023-05-19,,20.25 ,4.77 ,,8.08 
2023-05-18,,,4.79 ,,8.19 
2023-05-17,,,4.80 ,,8.09 
2023-05-16,,,4.81 ,,8.15 
2023-05-15,,,4.82 ,,8.26 
2023-05-12,,20.23 ,4.89 ,,8.20 
2023-05-11,,,4.87 ,,8.17 
2023-05-10,,,4.87 ,7855.10 ,8.13 
2023-05-09,,,4.85 ,,7.99 
2023-05-08,,,4.87 ,,7.90 
2023-05-06,,,4.91 ,,7.88 
2023-05-05,,20.37 ,4.90 ,,7.87 
2023-05-04,,,4.89 ,,7.89 
2023-04-30,0.10 ,,,8107.80 ,
2023-04-28,,20.36 ,4.81 ,,7.76 
2023-04-27,,,4.81 ,,7.79 
2023-04-26,,,4.77 ,,7.94 
2023-04-25,,,4.68 ,,7.77 
2023-04-24,,,4.72 ,,7.76 
2023-04-21,,20.81 ,4.65 ,,7.74 
2023-04-20,,,4.68 ,8022.70 ,7.90 
2023-04-19,,,4.73 ,,7.76 
2023-04-18,,,4.75 ,,7.86 
2023-04-17,,,4.83 ,,7.87 
2023-04-14,,20.91 ,4.92 ,,7.99 
2023-04-13,,,4.98 ,,7.99 
2023-04-12,,,4.98 ,,7.90 
